Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'GROSSMAN, M', u'PS3') -0.147727272727
(u'GROSSMAN, M', u'POLSC3') 0.0454545454545
(u'KASPAR, D', u'MATH55') 0.0833333333333
(u'KASPAR, D', u'MATH32') -0.333333333333
(u'KASPAR, D', u'MATH53') 0.125
(u'JAIN, U', u'HINDI100A') -0.0833333333333
(u'ROMANOWICZ, B', u'EPS122') -0.625
(u'LONG, J', u'CHEM150') 0.1875
(u'LONG, J', u'CHEMSECT') 0.125
(u'APPLETON, A', u'MATH32') -0.739583333333
(u'BARTOLOME, J', u'ES10') 0.25
(u'BARTOLOME, J', u'ENVSCI10') -0.0833333333333
(u'BHANGOO RANDHAWA, K', u'PACS150') 0.0833333333333
(u'BHANGOO RANDHAWA, K', u'PACS151') 0.125
(u'BHANGOO RANDHAWA, K', u'PACS1O') 0.00833333333333
(u'BHANGOO RANDHAWA, K', u'PACS10') 0.1
(u'BHANGOO RANDHAWA, K', u'PACS100') 0.0666666666667
(u'LARUE, D', u'MCB163') 0.375
(u'LARUE, D', u'NEUROSCIENCE') -0.291666666667
(u'WHITE, R', u'EE42') 0.075
(u'WHITE, R', u'EE40') -0.2
(u'SPANBOCK, B', u'COLWRTR1A') 0.111111111111
(u'SPANBOCK, B', u'COLWRITR1A') 0.0277777777778
(u'SPANBOCK, B', u'N2') 0.111111111111
(u'SPANBOCK, B', u'R1A') 0.305555555556
(u'SPANBOCK, B', u'R4B') 0.0555555555556
(u'WHITE, T', u'ANTHC100') -0.09375
(u'WHITE, T', u'ANTHC103') -0.025
(u'WHITE, T', u'ANTHR103') 0.0
(u'WHITE, T', u'ANTHROC100') 0.025
(u'WHITE, T', u'ANTHRC100') 0.00625
(u'WHITE, T', u'IB185') -0.04375
(u'WHITE, T', u'HUMANOSTEO') 0.025
(u'WHITE, T', u'IB142') -0.025
(u'WHITE, T', u'IBC142') -0.00625
(u'WHITE, T', u'IBC185') -0.03125
(u'WHITE, T', u'IB24') 0.19375
(u'WHITE, T', u'STONEAGESEM') 0.0125
(u'ALGAR, H', u'NES143B') 0.0892857142857
(u'ALGAR, H', u'NES143A') 0.0
(u'ALGAR, H', u'NES144') 0.107142857143
(u'ALGAR, H', u'NES6363') 0.0357142857143
(u'ALGAR, H', u'5') 0.0535714285714
(u'ALGAR, H', u'NES140142') 0.0625
(u'SCALICE, J', u'SEAR5A') 0.1875
(u'SCALICE, J', u'R5A') 0.125
(u'SCALICE, J', u'SEA10A') 0.375
(u'COPUS, R', u'LS145') 0.25
(u'MCBRIDE, J', u'ESPM101A') 0.09375
(u'MCBRIDE, J', u'ESPMC191') 0.03125
(u'MCBRIDE, J', u'ESPM191') 0.25
